# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7235
#@/user_id	ISuthRain
fen xiang 	分享	c=3 d=0.352852 t=7235
feng 	封	c=2 d=0.292591 t=7235
feng 	瘋	c=1 d=0.020141 t=7235
feng 	風	c=2 d=0.235036 t=7235
feng ge 	風格	c=1 d=0.0875977 t=7235
feng hao 	封號	c=1 d=0.0105145 t=7235
feng huang 	鳳凰	c=1 d=0.0739031 t=7235
feng ji xi chui 	風繼襲吹	c=1 d=0.112478 t=7235
feng nian 	鳳年	c=1 d=0.904837 t=7235
fo 	佛	c=1 d=0.008396 t=7235
fou 	否	c=1 d=0.0893673 t=7235
fu 	付	c=1 d=0.157237 t=7235
fu 	福	c=1 d=0.860708 t=7235
fu gai 	覆蓋	c=1 d=0.822835 t=7235
